INFO 2025-04-04 20:50:26,406 autoreload 97765 8157100096 /Users/dev2/Documents/Productivity Software/productivity_software/authentication/views.py changed, reloading.
INFO 2025-04-04 20:50:26,927 autoreload 97935 8157100096 Watching for file changes with StatReloader
INFO 2025-04-04 20:50:38,934 autoreload 98427 8157100096 Watching for file changes with StatReloader
INFO 2025-04-04 20:50:44,878 basehttp 97935 6168719360 "HEAD /api/docs/ HTTP/1.1" 200 0
INFO 2025-04-04 20:51:22,525 basehttp 97935 6168719360 "GET /api/auth/ HTTP/1.1" 200 7609
INFO 2025-04-04 20:51:22,605 basehttp 97935 6185545728 "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 304 0
INFO 2025-04-04 20:51:22,608 basehttp 97935 6202372096 "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 304 0
INFO 2025-04-04 20:51:22,610 basehttp 97935 6168719360 "GET /static/rest_framework/js/jquery-3.5.1.min.js HTTP/1.1" 304 0
INFO 2025-04-04 20:51:22,611 basehttp 97935 6185545728 "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 304 0
INFO 2025-04-04 20:51:22,611 basehttp 97935 6236024832 "GET /static/rest_framework/css/prettify.css HTTP/1.1" 304 0
INFO 2025-04-04 20:51:22,611 basehttp 97935 6219198464 "GET /static/rest_framework/js/csrf.js HTTP/1.1" 304 0
INFO 2025-04-04 20:51:22,611 basehttp 97935 6252851200 "GET /static/rest_framework/css/default.css HTTP/1.1" 304 0
INFO 2025-04-04 20:51:22,611 basehttp 97935 6202372096 "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 304 0
INFO 2025-04-04 20:51:22,612 basehttp 97935 6168719360 "GET /static/rest_framework/js/default.js HTTP/1.1" 304 0
INFO 2025-04-04 20:51:22,614 basehttp 97935 6185545728 "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 304 0
INFO 2025-04-04 20:51:22,625 basehttp 97935 6185545728 "GET /static/rest_framework/img/grid.png HTTP/1.1" 304 0
INFO 2025-04-04 20:51:25,538 basehttp 97935 6185545728 "GET /api/docs/ HTTP/1.1" 200 4467
INFO 2025-04-04 20:51:26,631 basehttp 97935 6168719360 "GET /api/schema/ HTTP/1.1" 200 17317
WARNING 2025-04-04 20:55:24,398 log 1659 8157100096 Bad Request: /api/auth/register/
WARNING 2025-04-04 20:55:24,403 log 1659 8157100096 Bad Request: /api/auth/register/
WARNING 2025-04-04 20:55:25,095 log 1659 8157100096 Unauthorized: /api/auth/login/
WARNING 2025-04-04 20:55:25,281 log 1659 8157100096 Forbidden: /api/auth/login/
WARNING 2025-04-04 20:55:25,652 log 1659 8157100096 Unauthorized: /api/auth/login/
WARNING 2025-04-04 20:55:27,216 log 1659 8157100096 Unauthorized: /api/auth/token/refresh/
WARNING 2025-04-04 20:55:27,609 log 1659 8157100096 Bad Request: /api/auth/logout/
WARNING 2025-04-04 20:55:28,438 log 1659 8157100096 Bad Request: /api/auth/password/reset/confirm/
INFO 2025-04-04 20:57:36,107 basehttp 97935 6168719360 "GET /api/docs/ HTTP/1.1" 200 4467
INFO 2025-04-04 20:57:36,362 basehttp 97935 6168719360 "GET /api/schema/ HTTP/1.1" 200 17317
INFO 2025-04-04 20:57:41,772 basehttp 97935 6168719360 "GET /api/auth/ HTTP/1.1" 200 7609
INFO 2025-04-04 20:57:41,930 basehttp 97935 6168719360 "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 304 0
INFO 2025-04-04 20:57:41,970 basehttp 97935 6202372096 "GET /static/rest_framework/css/prettify.css HTTP/1.1" 304 0
INFO 2025-04-04 20:57:42,042 basehttp 97935 6185545728 "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 304 0
INFO 2025-04-04 20:57:42,044 basehttp 97935 6202372096 "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 304 0
INFO 2025-04-04 20:57:42,057 basehttp 97935 6219198464 "GET /static/rest_framework/css/default.css HTTP/1.1" 304 0
INFO 2025-04-04 20:57:42,080 basehttp 97935 6252851200 "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 304 0
INFO 2025-04-04 20:57:42,101 basehttp 97935 6168719360 "GET /static/rest_framework/js/csrf.js HTTP/1.1" 304 0
INFO 2025-04-04 20:57:42,105 basehttp 97935 6185545728 "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 304 0
INFO 2025-04-04 20:57:42,113 basehttp 97935 6202372096 "GET /static/rest_framework/js/default.js HTTP/1.1" 304 0
INFO 2025-04-04 20:57:42,126 basehttp 97935 6219198464 "GET /static/rest_framework/img/grid.png HTTP/1.1" 304 0
INFO 2025-04-04 20:57:42,132 basehttp 97935 6236024832 "GET /static/rest_framework/js/jquery-3.5.1.min.js HTTP/1.1" 304 0
INFO 2025-04-04 21:00:02,185 autoreload 97935 8157100096 /Users/dev2/Documents/Productivity Software/productivity_software/productivity_software/settings.py changed, reloading.
INFO 2025-04-04 21:00:02,842 autoreload 4048 8157100096 Watching for file changes with StatReloader
INFO 2025-04-04 21:02:20,619 autoreload 4048 8157100096 /Users/dev2/Documents/Productivity Software/productivity_software/productivity_software/settings.py changed, reloading.
INFO 2025-04-04 21:02:21,023 autoreload 5312 8157100096 Watching for file changes with StatReloader
INFO 2025-04-04 21:03:50,949 autoreload 5312 8157100096 /Users/dev2/Documents/Productivity Software/productivity_software/productivity_software/settings.py changed, reloading.
INFO 2025-04-04 21:03:51,325 autoreload 6091 8157100096 Watching for file changes with StatReloader
INFO 2025-04-04 21:03:59,646 autoreload 6091 8157100096 /Users/dev2/Documents/Productivity Software/productivity_software/productivity_software/settings.py changed, reloading.
INFO 2025-04-04 21:04:00,048 autoreload 6179 8157100096 Watching for file changes with StatReloader
INFO 2025-04-04 21:07:02,974 autoreload 6179 8157100096 /Users/dev2/Documents/Productivity Software/productivity_software/productivity_software/settings.py changed, reloading.
INFO 2025-04-04 21:07:03,393 autoreload 7847 8157100096 Watching for file changes with StatReloader
INFO 2025-04-04 21:08:02,117 autoreload 7847 8157100096 /Users/dev2/Documents/Productivity Software/productivity_software/productivity_software/settings.py changed, reloading.
INFO 2025-04-04 21:08:08,178 autoreload 8409 8157100096 Watching for file changes with StatReloader
WARNING 2025-04-04 21:08:24,616 log 8624 8157100096 Bad Request: /api/auth/register/
WARNING 2025-04-04 21:08:24,631 log 8624 8157100096 Bad Request: /api/auth/register/
WARNING 2025-04-04 21:08:25,734 log 8624 8157100096 Unauthorized: /api/auth/login/
WARNING 2025-04-04 21:08:26,262 log 8624 8157100096 Forbidden: /api/auth/login/
WARNING 2025-04-04 21:08:27,128 log 8624 8157100096 Unauthorized: /api/auth/login/
WARNING 2025-04-04 21:08:30,299 log 8624 8157100096 Unauthorized: /api/auth/token/refresh/
INFO 2025-04-04 21:08:30,519 basehttp 8409 6165278720 "GET /api/auth/ HTTP/1.1" 200 7575
INFO 2025-04-04 21:08:30,707 basehttp 8409 12918534144 "GET /static/rest_framework/css/prettify.css HTTP/1.1" 304 0
INFO 2025-04-04 21:08:30,711 basehttp 8409 6165278720 "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 304 0
INFO 2025-04-04 21:08:30,717 basehttp 8409 12935360512 "GET /static/rest_framework/css/default.css HTTP/1.1" 304 0
